 terminal/gotty , ✅(1s)
 terminal/percol , ✅(5s)
 terminal/peco , ✅(1s)
 terminal/haxor-news , ✅(6s)
 terminal/bcat , ✅(3s)
 terminal/wait-on , ✅(2s)
 terminal/howdoi , ✅(8s)
 terminal/jupyterlab , ✅(16s)
 terminal/copier , ✅(8s)
 terminal/tmux , ✅(0s)
 terminal/taskbook , ✅(3s)
 terminal/ulp , ✅(5s)
 terminal/keep , ✅(7s)
 terminal/genact , ✅(1s)
 terminal/fx , ✅(1s)
 terminal/chatgpt , ✅(1s)
 terminal/ngxtop , ✅(5s)
 terminal/ov , ✅(1s)
 terminal/buku , ❌(smoke) , -
 terminal/bottom , ✅(1s)
 virtualization/lima , ✅(4s)
 python/bowler , ✅(4s)
 python/xonsh , ✅(5s)
 python/pipx , ✅(5s)
 python/pypy , ✅(15s)
 python/miniconda , ✅(0s)
 python/pywal , ✅(5s)
 python/cruft , ✅(7s)
 container/helm , ✅(2s)
 container/syft , ✅(1s)
 container/slim , ❌(env_try) , +
 container/kube-linter , ✅(2s)
 container/kubectx , ✅(1s)
 container/minikube , ✅(2s)
 container/kube-score , ✅(2s)
 container/ctop , ✅(1s)
 container/dive , ✅(1s)
 container/kind , ✅(1s)
 container/lazydocker , ✅(1s)
 container/kube-capacity , ✅(1s)
 container/bwrap , ✅(0s)
 container/k3d , ✅(2s)
 build/cmctl , ✅(1s)
 plugin/sqlite-xsv , ❌(smoke) , -
 plugin/sqlite-simple , ❌(smoke) , -
 plugin/zsh-plugin , ✅(1s)
 plugin/wemake-python-styleguide , ❌(env_try) , -
 plugin/sqlite-vss , ❌(smoke) , -
 test/loadtest , ✅(5s)
 test/goss , ✅(1s)
 test/hey , ❌(smoke) , -
 test/py-spy , ✅(5s)
 test/oha , ✅(1s)
 git/gh , ✅(1s)
 git/gitleaks , ✅(1s)
 git/glab , ✅(2s)
 git/onefetch , ✅(1s)
 git/bit , ✅(1s)
 git/tea , ✅(5s)
 git/act_runner , ✅(5s)
 git/tig , ✅(1s)
 git/soft-serve , ✅(1s)
 git/gitea , ✅(4s)
 git/lefthook , ✅(1s)
 git/lazygit , ✅(1s)
 git/czg , ✅(2s)
 git/pre-commit , ✅(5s)
 git/gitui , ✅(1s)
 git/gix , ✅(1s)
 osman/nfpm , ✅(2s)
 osman/zola , ✅(1s)
 osman/tunasync , ✅(2s)
 osman/obs , ✅(1s)
 osman/chezmoi , ✅(1s)
 osman/cfssl , ✅(1s)
 osman/iamlive , ✅(2s)
 osman/dry , ✅(1s)
 osman/gopass , ✅(1s)
 osman/proot , ✅(1s)
 osman/asciigraph , ❌(smoke) , +
 osman/nerdctl , ✅(1s)
 osman/macchina , ✅(1s)
 osman/git-chglog , ✅(1s)
 osman/mirrord , ✅(2s)
 osman/fkill-cli , ✅(7s)
 osman/bed , ✅(0s)
 osman/hugo , ✅(2s)
 osman/etcd , ✅(2s)
 osman/pm2 , ✅(7s)
 osman/horcrux , ❌(smoke)
 osman/easyrsa , ❌(env_try) , +
 shell/sampler , ✅(1s)
 shell/hyperfine , ✅(1s)
 shell/g , ✅(2s)
 shell/bash-preexec , ❌(smoke) , -
 shell/bat , ✅(1s)
 shell/shx , ✅(1s)
 shell/usql , ✅(4s)
 shell/busybox , ✅(1s)
 shell/funky , ✅(13s)
 shell/procs , ✅(1s)
 shell/murex , ✅(1s)
 shell/reviewdog , ✅(1s)
 shell/exa , ✅(1s)
 shell/eza , ✅(1s)
 shell/pueue , ✅(1s)
 shell/zoxide , ✅(1s)
 shell/cppman , ✅(4s)
 shell/fastly , ✅(1s)
 shell/powerline-go , ❌(smoke) , +
 shell/starship , ✅(1s)
 shell/zsh , ✅(1s)
 ssh/ssh-audit , ✅(4s)
 ssh/assh , ✅(1s)
 ssh/xxh-xxh , ✅(5s)
 cloud/jdcloud_cli , ✅(14s)
 cloud/aliyun , ✅(1s)
 cloud/flarectl , ✅(1s)
 cloud/qshell , ✅(2s)
 cloud/wrangler , ✅(6s)
 cloud/influx , ✅(3s)
 cloud/koocli , ✅(2s)
 cloud/ibmcloud , ✅(1s)
 cloud/s3cmd , ✅(4s)
 cloud/doctl , ✅(2s)
 cloud/azure-cli , ✅(56s)
 cloud/awscli , ✅(15s)
 cloud/athenacli , ✅(8s)
 cloud/linode-cli , ✅(6s)
 cloud/hcloud , ✅(1s)
 cloud/qingcloud-cli , ✅(6s)
 cloud/cloudlist , ✅(3s)
 cloud/drive , ✅(1s)
 cloud/gcloud , ✅(12s)
 cloud/s4cmd , ✅(7s)
 cloud/tccli , ✅(20s)
 cloud/vultr-cli , ✅(1s)
 cloud/gobackup , ✅(1s)
 cloud/ucloud , ✅(1s)
 cloud/create-cloudflare , ✅(4s)
 cloud/firebase-tools , ✅(12s)
 cloud/oci-cli , ✅(26s)
 lang/raku , ✅(3s)
 lang/lua , ✅(4s)
 lang/groovy , ✅(5s)
 lang/bun , ❌(smoke) , +
 lang/java , ✅(0s)
 lang/goreleaser , ✅(2s)
 lang/zig , ✅(4s)
 lang/tsx , ✅(2s)
 lang/deno , ✅(2s)
 lang/ts-node , ✅(4s)
 lang/rust , ✅(22s)
 lang/perl , ✅(2s)
 lang/python , ✅(9s)
 lang/wasmer , ✅(5s)
 lang/go , ✅(8s)
 lang/wasmtime , ✅(1s)
 lang/julia , ❌(env_try) , +
 lang/kotlin , ✅(2s)
 lang/mawk , ✅(0s)
 lang/scala , ✅(2s)
 lang/node , ✅(1s)
 filesystem/duf , ✅(1s)
 filesystem/fselect , ✅(1s)
 filesystem/ismc , -
 filesystem/dust , ✅(1s)
 filesystem/scc , ✅(1s)
 filesystem/trash-cli , ✅(6s)
 filesystem/lf , ✅(1s)
 filesystem/diskusage , ✅(1s)
 filesystem/ncp , ✅(3s)
 filesystem/ranger , ❌(smoke) , -
 filesystem/tokei , ✅(1s)
 filesystem/fd , ✅(1s)
 filesystem/hexyl , ✅(1s)
 filesystem/yazi , ✅(1s)
 filesystem/qrcp , ✅(1s)
 filesystem/broot , ✅(1s)
 filesystem/dua , ✅(1s)
 filesystem/ffsend , ✅(1s)
 filesystem/rclone , ✅(2s)
 db/mssql-cli , ❌(smoke) , -
 db/xlsxsql , ✅(1s)
 db/pgcli , ✅(7s)
 db/harlequin , ✅(12s)
 db/mysql , ✅(32s)
 db/psutilsql , ✅(1s)
 db/atuin , ✅(1s)
 db/litecli , ✅(5s)
 db/iredis , ✅(8s)
 db/mkdocs , ✅(5s)
 db/mycli , ✅(7s)
 db/datasette , ✅(6s)
 db/mdtsql , ❌(smoke) , -
