 multimedia/qpdf , ✅(2s) 
 multimedia/themer , ✅(2s) 
 multimedia/video-to-ascii , ❌(smoke) 
 multimedia/termsvg , ✅(1s) 
 multimedia/carbon-now-cli , ❌(smoke) 
 multimedia/ascii-image-converter , ✅(2s) 
 multimedia/ffmpeg , ✅(3s) 
 multimedia/pageres-cli , ✅(12s) 
 multimedia/cwebp , ✅(2s) 
 multimedia/gifski , ✅(1s) 
 multimedia/terminal-image-cli , ✅(5s) 
 multimedia/editly , ❌(env_try) 
 multimedia/mystmd , ✅(2s) 
 multimedia/agg , ✅(2s) 
 multimedia/face_recognition , ✅(313s) 
 multimedia/beets , ✅(6s) 
 multimedia/mermaid-cli , ✅(9s) 
