 data/grex , ✅(2s) 
 data/decktape , ✅(20s) 
 data/jieba , ✅(26s) 
 data/typst , ✅(3s) 
 data/wtfutil , ✅(4s) 
 data/mdcat , ✅(3s) 
 data/dvc , ✅(62s) 
 data/shfmt , ✅(2s) 
 data/docsify-cli , ✅(8s) 
 data/readability-cli , ✅(5s) 
 data/gojo , ✅(2s) 
 data/upx , - 
 data/pdfminer , ❌(smoke) 
 data/trafilatura , ✅(12s) 
 data/migrate , ✅(3s) 
 data/skim , ✅(2s) 
 data/csvkit , ✅(13s) 
 data/sphinx , ✅(12s) 
 data/zstd , ✅(3s) 
 data/stylelint , ✅(6s) 
 data/ouch , ✅(3s) 
 data/brook , ✅(3s) 
 data/difft , ✅(4s) 
 data/deepl , ✅(7s) 
 data/trdsql , ✅(2s) 
 data/qrencode , ❌(smoke) 
 data/xsv , ✅(3s) 
 data/eslint , ❌(smoke) 
 data/lakefs , ✅(6s) 
 data/dasel , ✅(4s) 
 data/dyff , ✅(3s) 
 data/marp-cli , ✅(18s) 
 data/jc , ✅(24s) 
 data/jq , ✅(1s) 
 data/gron , ✅(3s) 
 data/protobuf , ✅(1s) 
 data/restic , ✅(3s) 
 data/franc-cli , ✅(4s) 
 data/pypinyin , ❌(smoke) 
 data/ytt , ✅(3s) 
 data/fanyi , ✅(7s) 
 git/tig , ✅(2s) 
 git/delta , ✅(2s) 
 git/soft-serve , ✅(3s) 
 git/onefetch , ✅(3s) 
 git/gh , ✅(3s) 
 git/bit , ✅(3s) 
 git/git-chglog , ✅(2s) 
 git/lefthook , ✅(2s) 
 git/czg , ✅(3s) 
 git/lazygit , ✅(3s) 
 git/gitui , ✅(3s) 
 git/gix , ✅(2s) 
 git/tea , ✅(4s) 
 git/gitea , ✅(7s) 
 git/glab , ✅(3s) 
 git/gitleaks , ✅(3s) 
 git/pre-commit , ✅(8s) 
