 lang-perl-raku/raku , ✅(12s) 
 lang-python/black , ✅(63s) 
 lang-python/bowler , ✅(15s) 
 lang-python/cookiecutter , ✅(17s) 
 lang-python/copier , ✅(21s) 
 lang-python/cruft , ✅(19s) 
 lang-python/doit , ✅(12s) 
 lang-python/face_recognition , ❌(smoke) 
 lang-python/howdoi , ✅(23s) 
 lang-python/invoke , ✅(11s) 
 lang-python/isort , ✅(12s) 
 lang-python/marimo , ✅(29s) 
 lang-python/miniconda , ✅(3s) 
 lang-python/monkeytype , ✅(14s) 
 lang-python/norwegianblue , ✅(18s) 
 lang-python/pipx , ✅(12s) 
 lang-python/prospector , ✅(19s) 
 lang-python/pygments , ✅(12s) 
 lang-python/pylint , ✅(15s) 
 lang-python/pypy , ✅(25s) 
 lang-python/pyre-check , ✅(25s) 
 lang-python/pytype , ❌(smoke) 
 lang-python/rebound-cli , ✅(15s) 
 lang-python/rye , ✅(7s) 
 lang-python/uv , ✅(15s) 
 lang-python/vulture , ✅(61s) 
 lang-python/wemake-python-styleguide , ❌(env_try) 
 linter/alex , ✅(81s) 
 linter/cspell , ✅(26s) 
 linter/dotenv-linter , ✅(5s) 
 linter/emmyluacodestyle , ❌(smoke) 
 linter/gofumpt , ✅(6s) 
 linter/golangci-lint , ✅(11s) 
 linter/oxlint , ✅(9s) 
 linter/prettier , ✅(8s) 
 linter/ruff , ✅(10s) 
 linter/sqlfmt , ✅(13s) 
 linter/stylua , ✅(7s) 
 linter/vale , ✅(9s) 
 linter/yapf , ✅(14s) 
 mac/mackup , ✅(12s) 
 markdown-html/comrak , ✅(5s) 
 markdown-html/decktape , ✅(78s) 
 markdown-html/glow , ✅(8s) 
 markdown-html/marked , ❌(smoke) 
 markdown-html/markitdown , ✅(51s) 
 markdown-html/marp-cli , ❌(smoke) 
 markdown-html/mdcat , ✅(7s) 
 markdown-html/mdtsql , ✅(8s) 
 markdown-html/mermaid-ascii , ✅(7s) 
 markdown-html/minify , ✅(6s) 
 markdown-html/monolith , - 
 markdown-html/mystmd , ✅(7s) 
 markdown-html/readability-cli , ❌(smoke) 
 markdown-html/rumdl , ✅(7s) 
 markdown-html/stylelint , ✅(49s) 
 misc/atuin , - 
 misc/datasette , ✅(59s) 
 misc/easy-sharing , ✅(21s) 
 misc/gomplate , ✅(12s) 
 misc/grex , ✅(6s) 
 misc/invoice , ✅(6s) 
 misc/kopia , ✅(11s) 
 misc/nanoid , ✅(6s) 
 misc/navi , ✅(11s) 
 misc/percol , ❌(smoke) 
 misc/psutilsql , ✅(7s) 
 misc/pywal , ❌(env_try) 
 misc/restic , ✅(9s) 
 misc/thefuck , ✅(14s) 
 misc/wtfutil , - 
 multimedia/agg , ✅(7s) 
 multimedia/ascii-image-converter , ✅(6s) 
 multimedia/asciinema , ❌(smoke) 
 multimedia/beets , ✅(38s) 
 multimedia/carbon-now-cli , ❌(smoke) 
 multimedia/carbonyl , - 
 multimedia/code2flow , ✅(13s) 
 multimedia/cwebp , ✅(5s) 
 multimedia/diagon , ✅(5s) 
 multimedia/doitlive , ✅(14s) 
 multimedia/editly , ❌(env_try) 
 multimedia/ffmpeg , ✅(53s) 
 multimedia/gallery-dl , ✅(15s) 
 multimedia/gifski , ✅(6s) 
 multimedia/icloudpd , ✅(15s) 
 multimedia/magick , - 
 multimedia/mermaid-cli , ✅(269s) 
 multimedia/nasa-cli , ✅(39s) 
 multimedia/ocrmypdf , ❌(env_try) 
 multimedia/pageres-cli , ✅(101s) 
 multimedia/pdfcpu , ✅(7s) 
 multimedia/pdfminer , ❌(env_try) 
 multimedia/qpdf , ❌(env_try) 
 multimedia/terminal-image-cli , ✅(33s) 
 multimedia/termsvg , - 
 multimedia/themer , ✅(21s) 
 multimedia/vhs , ❌(env_try) 
 multimedia/video-to-ascii , ❌(env_try) 
 natural-language/deepl , ✅(12s) 
 natural-language/fanyi , ✅(29s) 
 natural-language/franc-cli , ✅(11s) 
 natural-language/jieba , ✅(15s) 
 natural-language/pypinyin , ❌(smoke) 
 network/aria2 , ✅(6s) 
 network/bandwhich , - 
 network/benthos , ✅(23s) 
 network/bore , ✅(5s) 
 network/brook , ❌(env_try) 
 network/certbot , ✅(20s) 
 network/chisel , ✅(6s) 
 network/curl , ❌(env_try) 
 network/curlie , ❌(smoke) 
 network/doggo , ✅(7s) 
 network/duckduckgo_search , ✅(13s) 
 network/fast-cli , ✅(75s) 
 network/frp , ✅(10s) 
 network/globalping , ✅(6s) 
 network/gost , ✅(9s) 
 network/gping , ✅(5s) 
 network/grpcurl , ✅(8s) 
 network/ipatool , ✅(6s) 
 network/is-online-cli , ❌(env_try) 
 network/is-up-cli , ❌(env_try) 
 network/json-server , ✅(15s) 
 network/localtunnel , ✅(9s) 
 network/magic-wormhole , ❌(env_try) 
 network/miniserve , ✅(5s) 
 network/mitmproxy , ❌(env_try) 
 network/mkcert , ✅(6s) 
 network/mosquitto , ❌(smoke) 
 network/nali , ✅(7s) 
 network/nexttrace , ✅(9s) 
 network/nico , ✅(6s) 
 network/public-ip-cli , ❌(env_try) 
 network/q , ✅(6s) 
 network/serviceman , ✅(5s) 
 network/shadowsocks-rust , ✅(8s) 
 network/shodan , ✅(16s) 
 network/socat , - 
 network/speedtest-cli , ✅(52s) 
 network/t-get , ❌(smoke) 
 network/tcping , ✅(6s) 
 network/termshark , ❌(smoke) 
 network/tproxy , ✅(6s) 
 network/traceroute , - 
 network/trippy , ✅(6s) 
 network/tun2brook , ✅(9s) 
 network/tunasync , - 
 network/websocat , ✅(5s) 
 network/wetty , ✅(76s) 
 network/wuzz , ✅(6s) 
 network/xh , ✅(7s) 
 network/you-get , ✅(57s) 
 network/youtube-dl , ✅(15s) 
 network/yt-dlp , ✅(62s) 
 network/zoomeye , ✅(13s) 
 network/zoro , ✅(7s) 
 osman/bottom , ✅(6s) 
 osman/bpytop , ❌(smoke) 
 osman/fastfetch , ✅(7s) 
 osman/fkill-cli , ❌(env_try) 
 osman/glances , ✅(14s) 
 osman/gotop , ✅(6s) 
 osman/hostctl , ✅(6s) 
 osman/iamlive , ✅(8s) 
 osman/ismc , - 
 osman/joker , - 
 osman/macchina , ✅(6s) 
 osman/mirrord , - 
 osman/nerdctl , ✅(9s) 
 osman/nfpm , ✅(7s) 
 osman/osquery , ✅(13s) 
 osman/procs , ✅(6s) 
 osman/proot , - 
 osman/s-tui , ✅(13s) 
 osman/sampler , ✅(6s) 
 osman/tz , ✅(6s) 
 osman/viddy , ✅(7s) 
 osman/zenith , - 
 other/bash-preexec , ❌(smoke) 
 other/bcat , ❌(smoke) 
 other/carapace-bin , ✅(5s) 
 other/cfn-lint , ✅(52s) 
 other/coala , ✅(20s) 
 other/concat-md , ✅(24s) 
 other/emoj , ✅(38s) 
 other/envsubst , ✅(6s) 
 other/firework-rs , ✅(6s) 
 other/funky , ❌(smoke) 
 other/jupyterlab , ✅(49s) 
 other/keep , ✅(17s) 
 other/mapscii , ✅(29s) 
 other/nb.sh , ✅(9s) 
 other/qrcp , ✅(6s) 
 other/qrencode , ✅(6s) 
 other/revive , ✅(6s) 
 other/shelljs , ❌(env_try) 
 other/shx , ✅(12s) 
 other/sncli , ✅(14s) 
 other/sqlite-simple , ❌(env_try) 
 other/sqlite-vss , - 
 other/sqlite-xsv , ❌(env_try) 
 other/typos , ✅(6s) 
 other/ulp , ❌(smoke) 
 other/wait-on , ✅(31s) 
 other/watchexec , ✅(7s) 
 other/zsh-plugin , ❌(env_try) 
 package-manager/luarocks , ✅(8s) 
 package-manager/pnpm , ✅(11s) 
 programming/scc , ✅(6s) 
 programming/tokei , ✅(6s) 
 reader/delta , ✅(7s) 
 reader/epr , ✅(12s) 
 reader/haxor-news , ✅(17s) 
 scm/dvc , ✅(91s) 
 scm/semantic-release , ✅(81s) 
 scm-git-service/act , ✅(9s) 
 scm-git-service/act_runner , ✅(8s) 
 scm-git-service/gh , ✅(10s) 
 scm-git-service/gitea , ✅(31s) 
 scm-git-service/glab , ✅(10s) 
 scm-git-service/goreleaser , ✅(17s) 
 scm-git-service/soft-serve , ❌(env_try) 
 scm-git-service/tea , ✅(8s) 
 scm-git-tool/bit , ✅(7s) 
 scm-git-tool/commitlint , ✅(61s) 
 scm-git-tool/czg , ✅(7s) 
 scm-git-tool/git-chglog , ✅(7s) 
 scm-git-tool/gitleaks , ✅(6s) 
 scm-git-tool/gitu , ✅(6s) 
 scm-git-tool/gitui , ✅(6s) 
 scm-git-tool/gix , ✅(10s) 
 scm-git-tool/jj , ✅(10s) 
