 filesystem/dust , ✅(2s) 
 filesystem/ranger , ❌(smoke) 
 filesystem/broot , - 
 filesystem/rclone , ✅(3s) 
 filesystem/ncp , ✅(3s) 
 filesystem/trash-cli , ✅(4s) 
 filesystem/diskusage , ✅(2s) 
 filesystem/fd , ✅(1s) 
 filesystem/magika , ✅(8s) 
 filesystem/gdu , ✅(2s) 
 filesystem/yazi , ✅(3s) 
 filesystem/hexyl , - 
 filesystem/qrcp , - 
 filesystem/ncdu , ✅(1s) 
 filesystem/ffsend , - 
 filesystem/scc , ✅(2s) 
 filesystem/lf , ✅(2s) 
 filesystem/godu , ✅(2s) 
 filesystem/dua , ❌(smoke) 
 filesystem/duf , ✅(2s) 
 cicd/act , ✅(2s) 
 cicd/act_runner , ✅(3s) 
 lang/zig , ✅(7s) 
 lang/arturo , ✅(2s) 
 lang/go , ✅(6s) 
 lang/python , ✅(11s) 
 lang/perl , ✅(2s) 
 lang/java , ❌(env_try) 
 lang/kotlin , ❌(env_try) 
 lang/lua , ✅(0s) 
 lang/scala , ❌(env_try) 
 lang/d2 , ✅(2s) 
 lang/julia , ✅(5s) 
 lang/groovy , ❌(env_try) 
 lang/tinygo , ✅(6s) 
 lang/raku , ✅(3s) 
 lang/mawk , ✅(2s) 
 container/kube-score , ✅(1s) 
 container/bwrap , - 
 container/kube-linter , - 
 container/k3d , ✅(2s) 
 container/minikube , ✅(3s) 
 container/kube-capacity , ✅(4s) 
 container/dive , ✅(2s) 
 container/slick , ✅(2s) 
 container/kind , ✅(3s) 
 container/lazydocker , ✅(1s) 
 container/syft , ✅(2s) 
 container/cosign , ✅(4s) 
 container/k9s , ✅(4s) 
 container/kubectx , ✅(2s) 
 container/copacetic , ✅(2s) 
 container/slim , - 
 container/helm , ✅(5s) 
 container/ctop , ✅(3s) 
 webserver/dufs , ✅(3s) 
 webserver/easy-sharing , ✅(5s) 
 webserver/playwright , ✅(1s) 
 webserver/browser-run , ✅(7s) 
 webserver/capture-website-cli , ✅(11s) 
 webserver/serve , ✅(2s) 
 webserver/nodemon , ✅(1s) 
 webserver/caddy , ✅(3s) 
 common/powerline-go , ✅(2s) 
 common/zx , ✅(1s) 
 common/cppman , ✅(14s) 
 common/norwegianblue , ✅(4s) 
 common/thefuck , ✅(13s) 
 common/khal , ✅(4s) 
 common/reviewdog , ✅(2s) 
 common/doitlive , ✅(3s) 
 common/genact , - 
 common/concurrently , ✅(6s) 
 common/starship , ✅(3s) 
 common/zoxide , ✅(2s) 
 common/exa , ✅(0s) 
 common/hyperfine , ✅(2s) 
 common/just , ✅(3s) 
 common/ov , ✅(2s) 
 common/vhs , ❌(env_try) 
 common/navi , ✅(2s) 
 common/g , ✅(2s) 
 common/taskbook , ✅(3s) 
 common/busybox , - 
 common/sampler , - 
 common/zellij , ✅(3s) 
 common/asciinema , ✅(2s) 
 common/dnote , - 
 common/tmux , ✅(1s) 
 common/eza , ✅(2s) 
 common/pueue , ❌(smoke) 
 common/shtris , ❌(env_try) 
 common/gcalcli , ✅(4s) 
 common/bat , ✅(2s) 
 common/direnv , ✅(2s) 
 common/joker , ✅(2s) 
 common/buku , ❌(env_try) 
 common/carbonyl , ✅(4s) 
 common/td-cli , ✅(3s) 
 common/invoice , ✅(2s) 
 common/gotty , - 
 ssh/xxh-xxh , ✅(3s) 
 ssh/ssh-audit , ✅(12s) 
 ssh/assh , ✅(5s) 
 iac/terraform , ✅(2s) 
 iac/heroku , ✅(24s) 
 iac/dagger , ✅(2s) 
 iac/ansible , ✅(22s) 
 iac/pyinfra , ✅(6s) 
 iac/python-openstackclient , ✅(10s) 
 iac/opentofu , ✅(6s) 
 ai/llm , ✅(6s) 
 ai/gpt-engineer , ❌(smoke) 
 ai/whispercpp , ✅(2s) 
 ai/catai , ✅(9s) 
 ai/gptscript , ✅(2s) 
 ai/gptui , ❌(smoke) 
 ai/chatblade , ✅(9s) 
 ai/aichat , ✅(3s) 
 ai/huggingface , ✅(5s) 
 ai/chatgpt , ✅(1s) 
 ai/open-interpreter , ✅(33s) 
 ai/how2 , ✅(4s) 
 cloud/gcloud , ✅(15s) 
 cloud/tccli , ✅(19s) 
 cloud/gobackup , ✅(3s) 
 cloud/doctl , ✅(3s) 
 cloud/qshell , ✅(4s) 
 cloud/ibmcloud , ✅(3s) 
 cloud/influx , - 
 cloud/azure-cli , ✅(50s) 
 cloud/aliyun , ✅(2s) 
 cloud/create-cloudflare , ✅(3s) 
 cloud/wrangler , ✅(7s) 
 cloud/s4cmd , ✅(14s) 
 cloud/cloudlist , ✅(4s) 
 cloud/linode-cli , ✅(4s) 
 cloud/fastly , ✅(2s) 
 cloud/ucloud , ✅(2s) 
 cloud/awscli , ✅(6s) 
 cloud/influxdb , - 
 cloud/oci-cli , ✅(22s) 
 cloud/qingcloud-cli , ✅(4s) 
 cloud/vultr-cli , ✅(3s) 
 cloud/s3cmd , ✅(3s) 
 cloud/flarectl , ✅(2s) 
 cloud/jdcloud_cli , ✅(13s) 
 cloud/athenacli , ✅(5s) 
 cloud/scw , ❌(smoke) 
 cloud/koocli , ❌(env_try) 
 cloud/drive , - 
 cloud/firebase-tools , ✅(10s) 
 cloud/hcloud , ✅(2s) 
 multimedia/agg , ✅(3s) 
 multimedia/video-to-ascii , ❌(smoke) 
 multimedia/terminal-image-cli , ✅(5s) 
